
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
01:30:00;1622;Réelle
01:00:00;766;Réelle
01:00:00;766;Réelle
00:30:00;384;Réelle
00:30:00;384;Réelle

20/03/2022;;
00:00:00;464;Réelle
23:30:00;546;Réelle
23:00:00;740;Réelle
22:30:00;1136;Réelle
22:00:00;962;Réelle
21:30:00;456;Réelle
21:00:00;590;Réelle
20:30:00;570;Réelle
20:00:00;1042;Réelle
19:30:00;1092;Réelle
19:00:00;1940;Réelle
18:30:00;574;Réelle
18:00:00;242;Réelle
17:30:00;358;Réelle
17:00:00;170;Réelle
16:30:00;182;Réelle
16:00:00;126;Réelle
15:30:00;220;Réelle
15:00:00;1076;Réelle
14:30:00;164;Réelle
14:00:00;1078;Réelle
13:30:00;2180;Réelle
13:00:00;1180;Réelle
12:30:00;1388;Réelle
12:00:00;1220;Réelle
11:30:00;714;Réelle
11:00:00;560;Réelle
10:30:00;472;Réelle
10:00:00;512;Réelle
09:30:00;1030;Réelle
09:00:00;950;Réelle
08:30:00;774;Réelle
08:00:00;446;Réelle
07:30:00;458;Réelle
07:00:00;514;Réelle
06:30:00;904;Réelle
06:00:00;344;Réelle
05:30:00;370;Réelle
05:00:00;352;Réelle
04:30:00;354;Réelle
04:00:00;362;Réelle
03:30:00;1288;Réelle
03:00:00;1634;Réelle
02:30:00;1602;Réelle
02:00:00;1620;Réelle
01:30:00;1606;Réelle
01:00:00;620;Réelle
00:30:00;130;Réelle

19/03/2022;;
00:00:00;174;Réelle
23:30:00;196;Réelle
23:00:00;322;Réelle
22:30:00;1154;Réelle
22:00:00;1018;Réelle
21:30:00;500;Réelle
21:00:00;502;Réelle
20:30:00;514;Réelle
20:00:00;1664;Réelle
19:30:00;1836;Réelle
19:00:00;1512;Réelle
18:30:00;384;Réelle
18:00:00;244;Réelle
17:30:00;188;Réelle
17:00:00;158;Réelle
16:30:00;112;Réelle
16:00:00;140;Réelle
15:30:00;844;Réelle
15:00:00;1184;Réelle
14:30:00;216;Réelle
14:00:00;1212;Réelle
13:30:00;722;Réelle
13:00:00;92;Réelle
12:30:00;1536;Réelle
12:00:00;974;Réelle
11:30:00;144;Réelle
11:00:00;414;Réelle
10:30:00;484;Réelle
10:00:00;528;Réelle
09:30:00;980;Réelle
09:00:00;766;Réelle
08:30:00;938;Réelle
08:00:00;588;Réelle
07:30:00;434;Réelle
07:00:00;570;Réelle
06:30:00;858;Réelle
06:00:00;386;Réelle
05:30:00;394;Réelle
05:00:00;1052;Réelle
04:30:00;1668;Réelle
04:00:00;1612;Réelle
03:30:00;1652;Réelle
03:00:00;1632;Réelle
02:30:00;1632;Réelle
02:00:00;1642;Réelle
01:30:00;1592;Réelle
01:00:00;810;Réelle
00:30:00;370;Réelle

18/03/2022;;
00:00:00;548;Réelle
00:00:00;548;Réelle
23:30:00;652;Réelle
23:30:00;652;Réelle
23:00:00;802;Réelle
23:00:00;802;Réelle
22:30:00;1046;Réelle
22:30:00;1046;Réelle
22:00:00;280;Réelle
22:00:00;280;Réelle
